Bola1,Bola2,Bola3,Bola4,Bola5,Bola6
3,13,21,32,46,50
11,14,27,38,42,51
4,12,28,31,39,55
2,39,51,53,56,60
7,19,26,46,55,60
5,10,13,14,17,60
11,19,20,24,25,40,48,49,55,60
1,12,21,25,32,37,44,57,60
22,28,35,37,38,40,53,56,57,59
9,10,23,28,30,31,39,40,44,53
12,15,18,22,25,35,39,45
12,15,18,22,25,35,39,54
12,15,18,22,25,35,45,54
12,15,18,22,25,39,45,54
12,15,18,22,35,39,45,54
12,15,18,25,35,39,45,54
12,15,22,25,35,39,45,54
12,18,22,25,35,39,45,54
15,18,22,25,35,39,45,54
2,9,17,18,20,42,45
2,9,17,18,20,42,53
2,9,17,18,20,45,53
2,9,17,18,42,45,53
2,9,17,20,42,45,53
2,9,18,20,42,45,53
2,17,18,20,42,45,53
9,17,18,20,42,45,53
3,17,18,35,42,51,56
5,10,24,27,34,39,45
3,13,16,17,38,51,58
15,20,37,53,56,57,58
2,8,23,25,27,31,36
4,8,10,25,29,50,55
2,12,24,30,33,47
2,12,24,30,33,49
2,12,24,30,33,59
2,12,24,30,47,49
2,12,24,30,47,59
2,12,24,30,49,59
2,12,24,33,47,49
2,12,24,33,47,59
2,12,24,33,49,59
2,12,24,47,49,59
2,12,30,33,47,49
2,12,30,33,47,59
2,12,30,33,49,59
2,12,30,47,49,59
2,12,33,47,49,59
2,24,30,33,47,49
2,24,30,33,47,59
2,24,30,33,49,59
2,24,30,47,49,59
2,24,33,47,49,59
2,30,33,47,49,59
12,24,30,33,47,49
12,24,30,33,47,59
12,24,30,33,49,59
12,24,30,47,49,59
12,24,33,47,49,59
12,30,33,47,49,59
24,30,33,47,49,59
7,8,29,30,33,51
7,8,29,30,33,60
7,8,29,30,51,60
7,8,29,33,51,60
7,8,30,33,51,60
7,29,30,33,51,60
8,29,30,33,51,60
3,7,11,21,26,29
3,7,11,21,26,32
3,7,11,21,26,33
3,7,11,21,26,34
3,7,11,21,26,36
3,7,11,21,26,38
3,7,11,21,26,44
3,7,11,21,26,48
3,7,11,21,26,51
3,7,11,21,26,57
3,7,11,21,29,32
3,7,11,21,29,33
3,7,11,21,29,34
3,7,11,21,29,36
3,7,11,21,29,38
3,7,11,21,29,44
3,7,11,21,29,48
3,7,11,21,29,51
3,7,11,21,29,57
3,7,11,21,32,33
3,7,11,21,32,34
3,7,11,21,32,36
3,7,11,21,32,38
3,7,11,21,32,44
3,7,11,21,32,48
3,7,11,21,32,51
3,7,11,21,32,57
3,7,11,21,33,34
3,7,11,21,33,36
3,7,11,21,33,38
3,7,11,21,33,44
3,7,11,21,33,48
3,7,11,21,33,51
3,7,11,21,33,57
3,7,11,21,34,36
3,7,11,21,34,38
3,7,11,21,34,44
3,7,11,21,34,48
3,7,11,21,34,51
3,7,11,21,34,57
3,7,11,21,36,38
3,7,11,21,36,44
3,7,11,21,36,48
3,7,11,21,36,51
3,7,11,21,36,57
3,7,11,21,38,44
3,7,11,21,38,48
3,7,11,21,38,51
3,7,11,21,38,57
3,7,11,21,44,48
3,7,11,21,44,51
3,7,11,21,44,57
3,7,11,21,48,51
3,7,11,21,48,57
3,7,11,21,51,57
3,7,11,26,29,32
3,7,11,26,29,33
3,7,11,26,29,34
3,7,11,26,29,36
3,7,11,26,29,38
3,7,11,26,29,44
3,7,11,26,29,48
3,7,11,26,29,51
3,7,11,26,29,57
3,7,11,26,32,33
3,7,11,26,32,34
3,7,11,26,32,36
3,7,11,26,32,38
3,7,11,26,32,44
3,7,11,26,32,48
3,7,11,26,32,51
3,7,11,26,32,57
3,7,11,26,33,34
3,7,11,26,33,36
3,7,11,26,33,38
3,7,11,26,33,44
3,7,11,26,33,48
3,7,11,26,33,51
3,7,11,26,33,57
3,7,11,26,34,36
3,7,11,26,34,38
3,7,11,26,34,44
3,7,11,26,34,48
3,7,11,26,34,51
3,7,11,26,34,57
3,7,11,26,36,38
3,7,11,26,36,44
3,7,11,26,36,48
3,7,11,26,36,51
3,7,11,26,36,57
3,7,11,26,38,44
3,7,11,26,38,48
3,7,11,26,38,51
3,7,11,26,38,57
3,7,11,26,44,48
3,7,11,26,44,51
3,7,11,26,44,57
3,7,11,26,48,51
3,7,11,26,48,57
3,7,11,26,51,57
3,7,11,29,32,33
3,7,11,29,32,34
3,7,11,29,32,36
3,7,11,29,32,38
3,7,11,29,32,44
3,7,11,29,32,48
3,7,11,29,32,51
3,7,11,29,32,57
3,7,11,29,33,34
3,7,11,29,33,36
3,7,11,29,33,38
3,7,11,29,33,44
3,7,11,29,33,48
3,7,11,29,33,51
3,7,11,29,33,57
3,7,11,29,34,36
3,7,11,29,34,38
3,7,11,29,34,44
3,7,11,29,34,48
3,7,11,29,34,51
3,7,11,29,34,57
3,7,11,29,36,38
3,7,11,29,36,44
3,7,11,29,36,48
3,7,11,29,36,51
3,7,11,29,36,57
3,7,11,29,38,44
3,7,11,29,38,48
3,7,11,29,38,51
3,7,11,29,38,57
3,7,11,29,44,48
3,7,11,29,44,51
3,7,11,29,44,57
3,7,11,29,48,51
3,7,11,29,48,57
3,7,11,29,51,57
3,7,11,32,33,34
3,7,11,32,33,36
3,7,11,32,33,38
3,7,11,32,33,44
3,7,11,32,33,48
3,7,11,32,33,51
3,7,11,32,33,57
3,7,11,32,34,36
3,7,11,32,34,38
3,7,11,32,34,44
3,7,11,32,34,48
3,7,11,32,34,51
3,7,11,32,34,57
3,7,11,32,36,38
3,7,11,32,36,44
3,7,11,32,36,48
3,7,11,32,36,51
3,7,11,32,36,57
3,7,11,32,38,44
3,7,11,32,38,48
3,7,11,32,38,51
3,7,11,32,38,57
3,7,11,32,44,48
3,7,11,32,44,51
3,7,11,32,44,57
3,7,11,32,48,51
3,7,11,32,48,57
3,7,11,32,51,57
3,7,11,33,34,36
3,7,11,33,34,38
3,7,11,33,34,44
3,7,11,33,34,48
3,7,11,33,34,51
3,7,11,33,34,57
3,7,11,33,36,38
3,7,11,33,36,44
3,7,11,33,36,48
3,7,11,33,36,51
3,7,11,33,36,57
3,7,11,33,38,44
3,7,11,33,38,48
3,7,11,33,38,51
3,7,11,33,38,57
3,7,11,33,44,48
3,7,11,33,44,51
3,7,11,33,44,57
3,7,11,33,48,51
3,7,11,33,48,57
3,7,11,33,51,57
3,7,11,34,36,38
3,7,11,34,36,44
3,7,11,34,36,48
3,7,11,34,36,51
3,7,11,34,36,57
